symbol	sgKDM5B_v_sgctrl.l2fc	sgKDM5B_v_sgctrl.padj
STRG.1	0.140895604853344	0.831303795613032
STRG.2	-0.805928973183147	0.209546578801415
STRG.3	0.601985268772031	0.00453857695852096
STRG.4	0.890062945545729	8.23351621159125e-05
STRG.5	0.582973874672262	0.00270763364675908
STRG.6	0.821919071851851	0.000246291887061098
STRG.7	0.527523199293376	0.000682611522597801
STRG.8	1.01975580694518	1.36270706441279e-07
STRG.9	0.897931491854192	0.000240077668266851
STRG.10	0.649309206699619	0.00232593662866948
STRG.11	0.106280664915387	0.636819977026803
STRG.12	0.411201078927887	0.176908993970096
STRG.13	1.75107263653443	4.93587403224187e-05
STRG.14	1.20880485836106	6.13846554359481e-06
STRG.15	0.703060542082145	0.0791463617718471
STRG.16	0.895710966672228	3.42363666274366e-08
STRG.17	1.17585584804441	1.6396029230822e-07
STRG.18	0.967106451678444	7.23287566786845e-07
STRG.19	0.685327614703048	0.000184053659635743
STRG.20	0.383533993470292	0.142054590185482
STRG.21	0.189075850679583	0.565803840172308
STRG.22	-0.399254674517621	0.83696412017691
STRG.23	0.689725192332463	0.840210520565309
STRG.24	-0.53386706987343	0.721212506402293
STRG.25	0.714222482687992	0.0417011066538661
STRG.26	0.338994696764726	0.237505872104257
STRG.27	0.115545300438268	0.711628961305495
STRG.28	0.176821706402913	0.548572642934441
STRG.29	-0.151015804522106	0.812575434960211
STRG.30	-0.0820667681043384	0.849285550994721
STRG.31	-3.94716626768167	0.121921143924317
STRG.32	-0.882915292125948	0.00105261966004938
STRG.33	-0.68248133372682	0.0079017783208736
STRG.34	0.646358423155504	0.400839679299728
STRG.35	-0.700718977251133	0.0644253242046726
STRG.36	-1.68546552871549	1.54177218562443e-16
STRG.37	-0.834405697038268	0.00333899227392449
STRG.38	-0.675808501660651	0.139747859172566
STRG.39	9.19810081491888	2.91298234078399e-32
STRG.40	9.60006008517483	9.19825977610035e-14
STRG.41	9.66985132756599	5.32731780394043e-14
STRG.42	0.451039862898301	0.7732127928846
STRG.43	-0.734046774122807	0.298802300311498
STRG.44	-2.44120540492329	5.419841214939e-05
STRG.45	0.958992632443848	0.597233358532197
STRG.46	-1.13576959249713	0.395046588926988
STRG.47	0.432969266820439	0.478861844887926
STRG.48	0.53238774188725	0.919605550091528
STRG.49	0.435304928225628	0.577805972408501
STRG.50	-1.3394528101556	0.0372614696434363
STRG.51	-0.716223008220183	0.451303704909083
STRG.52	-0.681565170697229	0.265814042121656
STRG.53	-0.523317248390243	0.469914543935419
STRG.54	-1.52459604596029	0.000175363403474927
STRG.55	-1.36318728946813	0.478063983170741
STRG.56	-2.71271640275993	0.511695003479598
STRG.57	-0.115373407640143	0.931495128404526
STRG.58	1.19101380672514	6.48416846939914e-06
STRG.59	-2.7185748192382	0.000383027785742877
STRG.60	-1.40116787029243	7.58033816477764e-08
STRG.61	-3.70415052837838	0.000374140030811586
STRG.62	-3.12192860711067	2.57291724008424e-05
STRG.63	-0.993442036758368	0.517160503840598
STRG.64	-0.0997114061996249	0.906341530256294
STRG.65	-0.39270356809254	0.0484679418101378
STRG.66	-0.120766404985429	0.683578138350993
STRG.67	0.299271319740054	0.535335437741775
STRG.68	-0.736650430058992	0.0342362146531284
STRG.69	0.730392514766981	0.144016385061815
STRG.70	0.605704764884347	0.247598627832327
STRG.71	0.780052283090423	0.259193769013322
STRG.72	0.305147424993566	0.115381973240552
STRG.73	1.00493584348323	6.43935572604775e-10
STRG.74	1.75799521365704	0.011098051661459
STRG.75	0.0531861941270207	0.983622678672504
STRG.76	0.676841692947093	0.333412017692854
STRG.77	0.989565796904173	0.0904033891501874
STRG.78	1.43659126670102	0.191945455107941
STRG.79	0.623068871816644	0.529606147505504
STRG.80	-2.71271640275993	0.511695003479598
STRG.81	0.845551880808345	0.0250448647424177
STRG.82	0.885655452169066	0.0100473255745169
STRG.83	0.207320841418267	0.464713428394367
STRG.84	0.560762827711518	0.0345211142038857
STRG.85	0.899205454480746	1.62148973320343e-09
STRG.86	-0.305807461815328	0.668845482288973
STRG.87	-1.12753116169069	0.514915299133208
STRG.88	-0.297625219968943	0.90282008058318
STRG.89	0.101887216526518	0.884094740551453
STRG.90	-0.711177059138186	0.00949746910570369
STRG.91	-0.076477366095394	0.985620812810484
STRG.92	-0.248671836567505	0.899314310991627
STRG.93	-3.18352766733771	0.0653752836429223
STRG.94	-0.711454125684654	0.281178730799595
STRG.95	-1.62471016134451	0.0214402796710913
STRG.96	-1.02725076416868	0.032330138757161
STRG.97	-0.828009666335729	0.0307117286437996
STRG.98	-0.995652395911954	0.0261094895071315
STRG.99	-1.73132128930954	0.0020902792474591
STRG.100	-1.17842924478776	0.145831345393562
STRG.101	-1.40793678996594	8.42271764586846e-06
STRG.102	0.319994257329501	0.0518608330821826
STRG.103	0.315529589967373	0.124721550434898
STRG.104	-0.233982447294675	0.827546521477506
STRG.105	0.806055155743954	0.00015628324631254
STRG.106	0.869466200714589	7.28452360572691e-07
STRG.107	0.773646948762959	5.77453018459134e-05
STRG.108	1.22417290887984	6.54583399241008e-08
STRG.109	1.21147102698444	6.23541019288774e-06
STRG.110	1.04941116907599	2.37072122599278e-07
STRG.111	1.40889828299507	4.42860544596141e-10
STRG.112	1.23939083212092	1.94194347448256e-08
STRG.113	1.31567315120066	1.420050470376e-11
STRG.114	1.30348965050721	4.40238770031585e-05
STRG.115	1.28910481491429	0.00246050751561319
STRG.116	0.989511510544128	0.00272387140507878
STRG.117	-2.32519911825625	0.621888477700024
STRG.118	1.74879967033429	3.99684846205934e-06
STRG.119	0.0028781978785908	0.996726037720973
STRG.120	-0.398171907265607	0.887911156014919
STRG.121	0.117801032683237	0.923571054480581
STRG.122	0.236844789321218	0.855856677339849
STRG.123	0.480392040687231	0.658378613760785
STRG.124	-0.4536242198067	0.590190854595974
STRG.125	1.03561304780027	4.68399912561262e-06
STRG.126	1.05790790439776	0.219868570269874
STRG.127	0.324494109050685	0.739631801989401
STRG.128	1.65746973611486	0.00102548949000104
STRG.129	2.2204931344192	0.0308506832577578
STRG.130	0.265107339623903	0.896308330653967
STRG.131	1.17379420912872	0.331639840110486
STRG.132	-3.35257958760945	0.0160325007074407
STRG.133	-1.44703829008345	0.701500652340866
STRG.134	-3.1269737760662	0.0201488406540856
STRG.135	-2.22633386817784	0.0172645669054834
STRG.136	-3.89987160723379	0.0109341499991984
STRG.137	-2.1267174330136	0.0583147214850104
STRG.138	-4.1958636330875	9.34281575392597e-13
STRG.139	-0.687287376630041	0.000322282974441745
STRG.140	-0.680844042571768	0.856439455060992
STRG.141	-0.156681966467793	0.69159441077753
STRG.142	-0.348051833672958	0.162905653003086
STRG.143	-0.0619884591975608	0.866114176686694
STRG.144	-0.153977978851786	0.810512142767086
STRG.145	-0.126801152838305	0.872993326434222
STRG.146	0.0569099773711691	0.894325683209858
STRG.147	-0.159819800481025	0.677670721199124
STRG.148	-0.119127224803476	0.788576515572598
STRG.149	0.367556867229966	0.0458614847969127
STRG.150	0.11876411181938	0.829431141537969
STRG.151	-0.242267634924018	0.838258284601785
STRG.152	0.345716445363704	0.388497352063622
STRG.153	-0.0184336672457734	0.965589291573208
STRG.154	0.296126223083864	0.400688478621711
STRG.155	0.492248798345938	0.633418927373761
STRG.156	-0.500820930633742	0.000125275703420673
STRG.157	0.279068706584381	0.293942637162088
STRG.158	-0.376659418184221	0.856379728921559
STRG.159	0.195123084262252	0.869911705370074
STRG.160	-0.0541668105188952	0.896585281563602
STRG.161	-0.372779356137527	0.272447819896762
STRG.162	0.20478168578191	0.604928583136542
STRG.163	0.0980284937468188	0.856430960259196
STRG.164	0.128618996734032	0.797650281023365
STRG.165	0.232250699279277	0.649126943755868
STRG.166	0.512149243568432	0.666598191613309
STRG.167	-0.756987374163109	0.596424204811519
STRG.168	-0.706438072801144	0.17011096203182
STRG.169	-8.64643107397108	7.40477087225616e-11
STRG.170	-5.53306820392702	0.000917484056917812
STRG.171	-4.28144394380784	0.00572301226231527
STRG.172	-7.13202755948374	3.98156624617099e-07
STRG.173	-6.04953225603939	9.79253838810244e-05
STRG.174	-1.91233068052015	0.0560135594774607
STRG.175	1.50950125067542	0.0312880640468992
STRG.176	-0.315866345627027	0.682766897009834
STRG.177	1.30317911109503	0.190006732866622
STRG.178	1.32007067103959	0.280261803041788
STRG.179	0.667264671715054	0.746336220767196
STRG.180	1.51554928243044	0.118714196973127
STRG.181	0.032373754957619	0.956110255751316
STRG.182	-0.685758418450486	0.0301253591133319
STRG.183	-0.553055713626465	0.666360181505526
STRG.184	-0.150798832452377	0.585049918755689
STRG.185	-0.383686484931756	0.0353373361713489
STRG.186	-0.213383142262744	0.783415867575964
STRG.187	0.893791988048679	0.812058870525544
STRG.188	-0.424474231812345	0.781107542473807
STRG.189	-1.07976926948015	0.148923860597257
STRG.190	-0.421336024106218	0.505949593827863
STRG.191	-1.95115508143013	7.43290089604532e-06
STRG.192	0.501907379210508	0.345956302911722
STRG.193	0.184427857977395	0.778453607269464
STRG.194	-0.287113592940173	0.627690367059086
STRG.195	0.510804249118797	0.00272856319050455
STRG.196	-0.652442019033504	0.00483074404204933
STRG.197	-0.73804013189785	3.83716785609161e-06
